Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,202,0,490.0,577.2722777228499,243.3229999987816,2009.6670999992057,10450.247524752474,1.7042182419000382,0.0,500,660,690,700,970,1300,2000,2000,2000,2000,2000
GET,/cart,309,0,460.0,424.1038553397562,229.37539999838918,2237.174199999572,12828.73786407767,2.6069477066688704,0.0,460,490,500,520,570,610,1100,1400,2200,2200,2200
POST,/cart,318,0,750.0,809.4094025157306,469.4610000005923,2503.412899997784,17427.62578616352,2.6828782223970897,0.0,750,770,800,830,930,1200,1900,1900,2500,2500,2500
POST,/cart/checkout,90,0,300.0,346.42095555569136,260.8156999995117,2292.6979000003485,6765.511111111111,0.7593051572821952,0.0,300,310,320,320,370,400,1900,2300,2300,2300,2300
GET,/product/0PUK6V6EV0,143,0,260.0,293.9754979021412,230.4794999981823,2003.2688999999664,7927.083916083916,1.2064515276817103,0.0,260,270,280,280,310,330,790,1200,2000,2000,2000
GET,/product/1YMWWN1N4O,134,0,260.0,303.3951276118034,231.96939999979804,1702.1346000001358,7958.111940298508,1.1305210119534908,0.0,260,280,280,300,320,490,780,1400,1700,1700,1700
GET,/product/2ZYFJ3GM2N,148,0,260.0,275.47169256760407,235.41629999817815,752.8220000021975,7940.128378378378,1.248635147530721,0.0,260,270,280,290,330,360,400,500,750,750,750
GET,/product/66VCHSJNUP,164,0,260.0,267.7936713412569,231.31160000048112,544.7503000032157,7913.567073170731,1.3836227310475557,0.0,260,270,280,280,300,320,340,360,540,540,540
GET,/product/6E92ZMYYFZ,154,0,270.0,306.1425272726292,230.99769999680575,1886.0139999997045,7906.474025974026,1.299255491349534,0.0,270,280,280,290,330,360,1300,1400,1900,1900,1900
GET,/product/9SIQT8TOJO,157,0,260.0,282.93522993637663,230.08610000033514,2016.9679999999062,7958.197452229299,1.3245656632589404,0.0,260,270,280,290,310,330,390,720,2000,2000,2000
GET,/product/L9ECAV7KIM,139,0,260.0,277.88400863319896,230.6343000018387,1482.7240999984497,7916.805755395683,1.1727046318025014,0.0,260,260,270,280,320,340,370,860,1500,1500,1500
GET,/product/LS4PSXUNUM,140,0,260.0,282.4265042855456,235.9827000000223,668.7625000013213,7917.885714285714,1.1811413557723036,0.0,260,280,290,290,330,380,640,650,670,670,670
GET,/product/OLJCESPC7Z,137,0,260.0,298.2670452555044,232.32070000085514,1693.6109000016586,7954.14598540146,1.1558311838628972,0.0,260,280,280,290,320,370,1200,1600,1700,1700,1700
POST,/setCurrency,211,0,520.0,553.24451184831,457.3534999981348,1632.4239000023226,10478.061611374407,1.7801487576282577,0.0,520,530,550,570,620,700,1100,1400,1600,1600,1600
,Aggregated,2446,0,280.0,421.4792022076689,229.37539999838918,2503.412899997784,10169.827473426001,20.636226830136106,0.0,280,460,520,570,740,830,1200,1800,2300,2500,2500
