Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,14513,11461,69000.0,76441.99993305306,0.9174000006169081,214743.80640000163,2191.581478674292,27.644661156442826,21.831148729690018,69000,70000,72000,100000,183000,186000,187000,195000,204000,213000,215000
POST,/,830,830,63000.0,72674.88425638559,4367.69170000116,186824.72810000036,0.0,1.581001085912461,1.581001085912461,63000,86000,97000,118000,183000,183000,183000,187000,187000,187000,187000
GET,/cart,6934,5292,63000.0,59882.44858576552,0.7717999978922307,214731.2234000019,1839.3031439284684,13.208025939418079,10.080310538131016,63000,71000,80000,82000,132000,176000,187000,204000,206000,215000,215000
POST,/cart,5627,4803,64000.0,58954.556070819235,0.7267000000865664,214719.28579999803,2425.5852141460814,10.71842543425231,9.14885327185247,64000,73000,79000,89000,132000,165000,191000,192000,193000,215000,215000
POST,/cart/checkout,1396,1168,57000.0,56779.55121969912,0.6751000000804197,214740.6501000005,1104.7492836676217,2.6591295372696333,2.2248304437900654,57000,68000,80000,88000,160000,191000,215000,215000,215000,215000,215000
GET,/product/0PUK6V6EV0,3381,2619,63000.0,59142.12501523215,0.7819999991625082,214738.581900001,1772.569949719018,6.440198399361483,4.988725113258718,63000,72000,80000,82000,113000,165000,186000,203000,206000,215000,215000
GET,/product/1YMWWN1N4O,3478,2705,63000.0,58939.06084680827,0.9256999983335845,214600.1976999978,1753.0764807360551,6.624965996148843,5.152539683606274,63000,72000,79000,82000,110000,165000,188000,202000,206000,215000,215000
GET,/product/2ZYFJ3GM2N,3403,2653,64000.0,59369.88180129291,0.8818999995128252,214741.33520000032,1738.4331472230385,6.48210445224109,5.053489013163565,64000,71000,78000,82000,110000,165000,185000,203000,206000,215000,215000
GET,/product/66VCHSJNUP,3454,2646,63000.0,59050.00456354964,0.9638999981689267,214702.67619999868,1838.2362478286045,6.579250302098362,5.040155269065508,63000,71000,80000,82000,116000,165000,187000,204000,206000,215000,215000
GET,/product/6E92ZMYYFZ,3351,2611,63000.0,59944.21257535073,0.8923999994294718,214713.69810000033,1732.2864816472695,6.383053781798382,4.973486548575224,63000,72000,80000,82000,117000,179000,191000,204000,206000,215000,215000
GET,/product/9SIQT8TOJO,3312,2583,64000.0,59540.06406156384,1.0760000004665926,214666.0348000005,1737.5736714975844,6.30876577896635,4.920151572182996,64000,72000,80000,82000,113000,165000,188000,204000,206000,215000,215000
GET,/product/L9ECAV7KIM,3403,2596,63000.0,59056.45014084619,0.9883000020636246,234182.56069999916,1864.6650014692918,6.48210445224109,4.944914239793674,63000,72000,80000,82000,112000,177000,188000,204000,213000,234000,234000
GET,/product/LS4PSXUNUM,3424,2712,63000.0,59675.592407301505,0.7389000020339154,205851.8597000002,1634.1471962616822,6.522105684535261,5.16587342770433,63000,72000,80000,82000,115000,165000,188000,203000,206000,206000,206000
GET,/product/OLJCESPC7Z,3362,2594,63000.0,58750.75162629393,0.6223999989742879,214690.10720000006,1802.8837001784652,6.404006808238186,4.9411045986227995,63000,71000,79000,82000,111000,165000,188000,204000,213000,215000,215000
POST,/setCurrency,3712,2986,64000.0,59402.14431732225,0.8421999991696794,214709.7999999969,2042.0953663793102,7.070694013141031,5.687794268113986,64000,71000,78000,81000,136000,165000,199000,204000,206000,215000,215000
,Aggregated,63580,50259,65000.0,63357.694294107576,0.6223999989742879,234182.56069999916,1907.0246461151305,121.10849282206539,95.7343778034631,65000,71000,79000,83000,158000,183000,189000,200000,213000,215000,234000
