Method,Name,Error,Occurrences
GET,/product/1YMWWN1N4O,HTTPError('500 Server Error: Internal Server Error for url: /product/1YMWWN1N4O'),108
POST,/cart/checkout,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to a81d126a5b79a44a586eef5a579c4675-1919902148.us-east-1.elb.amazonaws.com timed out. (connect timeout=None)')",4231
POST,/cart/checkout,RemoteDisconnected('Remote end closed connection without response'),4413
GET,/product/2ZYFJ3GM2N,"ChunkedEncodingError(ProtocolError('Connection broken: IncompleteRead(1912 bytes read, 136 more expected)', IncompleteRead(1912 bytes read, 136 more expected)))",1
POST,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),709
GET,/product/66VCHSJNUP,HTTPError('500 Server Error: Internal Server Error for url: /product/66VCHSJNUP'),89
GET,/product/66VCHSJNUP,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to a81d126a5b79a44a586eef5a579c4675-1919902148.us-east-1.elb.amazonaws.com timed out. (connect timeout=None)')",1447
GET,/product/L9ECAV7KIM,"gaierror(11001, 'getaddrinfo failed')",1
GET,/product/LS4PSXUNUM,"gaierror(11001, 'getaddrinfo failed')",1
GET,/,"ChunkedEncodingError(ProtocolError('Connection broken: IncompleteRead(1898 bytes read, 150 more expected)', IncompleteRead(1898 bytes read, 150 more expected)))",7
GET,/,RemoteDisconnected('Remote end closed connection without response'),25055
GET,/product/0PUK6V6EV0,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to a81d126a5b79a44a586eef5a579c4675-1919902148.us-east-1.elb.amazonaws.com timed out. (connect timeout=None)')",1390
GET,/product/0PUK6V6EV0,RemoteDisconnected('Remote end closed connection without response'),1495
GET,/product/66VCHSJNUP,"gaierror(11001, 'getaddrinfo failed')",1
GET,/product/OLJCESPC7Z,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to a81d126a5b79a44a586eef5a579c4675-1919902148.us-east-1.elb.amazonaws.com timed out. (connect timeout=None)')",1384
GET,/product/LS4PSXUNUM,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to a81d126a5b79a44a586eef5a579c4675-1919902148.us-east-1.elb.amazonaws.com timed out. (connect timeout=None)')",1431
GET,/product/2ZYFJ3GM2N,RemoteDisconnected('Remote end closed connection without response'),1491
GET,/product/6E92ZMYYFZ,RemoteDisconnected('Remote end closed connection without response'),1412
GET,/product/L9ECAV7KIM,RemoteDisconnected('Remote end closed connection without response'),1485
GET,/product/1YMWWN1N4O,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to a81d126a5b79a44a586eef5a579c4675-1919902148.us-east-1.elb.amazonaws.com timed out. (connect timeout=None)')",1370
GET,/,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to a81d126a5b79a44a586eef5a579c4675-1919902148.us-east-1.elb.amazonaws.com timed out. (connect timeout=None)')",20766
GET,/,"gaierror(11001, 'getaddrinfo failed')",11
