Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,76551,48842,21000.0,35922.70049917956,22.7417000000969,136705.54579999976,3965.8548679964993,59.580756126679965,38.014438619212065,21000,57000,64000,67000,77000,83000,92000,110000,130000,132000,137000
GET,/cart,15106,8769,16000.0,32906.94853905055,226.49360000013985,132408.281,5622.6304779557795,11.757219396867807,6.825040175502039,16000,56000,64000,67000,77000,82000,92000,110000,130000,132000,132000
POST,/cart,31044,18337,18000.0,33592.80832224584,22.347999999965396,132622.55229999984,7494.547448782373,24.16199648857171,14.271953666117104,18000,55000,64000,67000,76000,83000,92000,110000,126000,132000,133000
POST,/cart/checkout,15643,8884,19000.0,33016.46214391729,180.48650000014277,136697.67320000005,2983.7731892859424,12.17517430327043,6.91454634726424,19000,56000,64000,67000,76000,82000,91000,109000,130000,132000,137000
GET,/product/0PUK6V6EV0,5193,2987,16000.0,32427.231085441956,232.9448999998931,136701.1928999998,3444.36761024456,4.041787390966141,2.3248255222060203,16000,56000,64000,67000,76000,83000,92000,110000,130000,137000,137000
GET,/product/1YMWWN1N4O,5066,2912,15000.0,32490.37018454398,236.18899999996756,131606.46180000005,3471.6508093170155,3.9429414447591893,2.2664519319263245,15000,57000,64000,67000,77000,82000,91000,109000,128000,132000,132000
GET,/product/2ZYFJ3GM2N,5203,3004,18000.0,32491.726730886105,237.79130000002624,132404.86509999982,3428.3926580818757,4.049570536336767,2.338056869336085,18000,56000,64000,67000,76000,83000,90000,108000,128000,132000,132000
GET,/product/66VCHSJNUP,5182,2989,18000.0,32800.05510349288,243.3618000000024,131434.5457999998,3422.176572751833,4.033225931058452,2.3263821512801455,18000,57000,64000,67000,77000,83000,91000,110000,130000,131000,131000
GET,/product/6E92ZMYYFZ,5019,2861,19000.0,32682.338277704708,49.55459999996492,132631.19280000002,3456.556883841403,3.9063606615172466,2.226757890536131,19000,57000,64000,67000,77000,82000,91000,109000,130000,133000,133000
GET,/product/9SIQT8TOJO,5123,2925,15000.0,31965.549746359575,232.6039000001856,132442.23280000006,3491.289283622877,3.987305373371758,2.2765700209081383,15000,54000,64000,67000,76000,83000,91000,107000,130000,132000,132000
GET,/product/L9ECAV7KIM,5160,2979,20000.0,32782.89079839147,135.50729999997202,132443.19399999996,3421.134496124031,4.016103011243075,2.3185990059095194,20000,56000,64000,67000,76000,82000,90000,106000,120000,132000,132000
GET,/product/LS4PSXUNUM,5155,2969,19000.0,33192.783247604275,178.1260000000202,132430.21279999992,3427.101066925315,4.012211438557761,2.3108158605388933,19000,58000,64000,67000,77000,83000,96000,111000,130000,132000,132000
GET,/product/OLJCESPC7Z,5146,2960,19000.0,32681.34050036912,237.4482000000171,136678.06670000005,3445.1267003497865,4.005206607724198,2.30381102970533,19000,56000,64000,67000,76000,82000,91000,109000,121000,137000,137000
,Aggregated,184591,111418,20000.0,34208.58381539581,22.347999999965396,136705.54579999976,4481.2035960583125,143.6698587109245,86.71824909044204,20000,56000,64000,67000,77000,83000,92000,110000,130000,132000,137000
